Marque,Prix,Localisation,Date_publication,Modèle,Année,Kilométrage,Carburant,Boîte vitesse,Puissance fiscale,Nombre de portes,Description
Kia,52 TND  Echange possible,,,RIO,2022,93 000 km,Essence,Manuelle,5 CV,5,"kia priemier main annee 2022
93.000 km prix 52.000 Tel 29.402205"
Kia,49 500 TND  Echange possible,,,RIO,2022,81 000 km,Essence,Manuelle,5 CV,5,"KIA RIO COUPE BOITE MANUELLE

PREMIERE MAIN EN TRES BON ETAT

VOITURE A L&#039;ETAT ORIGINE JAMAIS

TOUCHEE

CLIMATISEUR EN FONCTION

4 VITRES ELECTRIQUES

ANTI BROUILLARD

JANTES EN ALUMINIUM

BLOO TOUTH TELEPHONE MAIN LIBRE

FERMETURE CENTRALISEE

CONNECTIVITE AUX

VISIBLE A BIZERTE"
Kia,41 000 TND,,,RIO,2015,117 000 km,Essence,Manuelle,5 CV,5,Kia Rio coupe mars 2015
Kia,56 TND,,,RIO,2020,124 km,Essence,Automatique,6 CV,5,
Kia,48 000 000 TND,,,RIO,2021,150 000 km,Essence,Manuelle,5 CV,5,Tres bon etat
Kia,34 500 TND,,,RIO,2013,135 km,Essence,Manuelle,5 CV,5,Novembre 2013 + 1ere Main + kilometrage 135 + serie 169
Kia,36 000 TND,,,RIO,2014,256 000 km,Essence,Manuelle,5 CV,5,1ere main toutes options
Kia,37 500 TND,,,RIO,2014,170 km,Essence,Manuelle,5 CV,5,"- puissance fiscale 5cv
- 4 vitres electriques originaux
- essence
- volent multifonction cuir
- Retroviseurs rabatable electriques
- 4 roues neuves
- connectivite USB / Bluetooth
- detecteur de pluie
- allumage automatique de feux
- Kilometrage 178000
- Bouton start and stop
- radar de recul
- climatiseur automatique"
Kia,Prix non specifie,,,RIO,2022,81 000 km,Essence,Manuelle,5 CV,5,"KIA RIO COUPE BOITE MANUELLE

PREMIERE MAIN EN TRES BON ETAT

VOITURE A L'ETAT ORIGINE JAMAIS

TOUCHEE

CLIMATISEUR EN FONCTION

4 VITRES ELECTRIQUES

ANTI BROUILLARD

JANTES EN ALUMINIUM

BLOO TOUTH TELEPHONE MAIN LIBRE

FERMETURE CENTRALISEE

CONNECTIVITE AUX

VISIBLE A BIZERTE"
Kia,53 500 TND,,,RIO,2021,118 000 km,Essence,Manuelle,5 CV,5,"A vendre Kia Rio prestige


Energie: essence

Annee:28/07/2021

Kilometrage: 118000Km

 Boite 5

 Retroviseur rabattable

 Ecran tactile

Climatronic

Star/ Stop

Regulateur de vitesse

Capteur avant/arriere

GPS

LED

Feu Led Xenon

Feu de jour

Roue de secours jamais utilise

Double cle

ABS-ESP

Jante aluminium

Camera de recul

Carnet d'entretien

Voiture neuf etat origines

Adresse : ben arous

- pour plus d'informations contactez le numero : /"
Kia,64 000 TND,,,RIO,2021,34 900 km,Essence,Manuelle,5 CV,5,"KIA rio GT-Line a vendre ; 1ere main, Faible kilometrage et tous les entretiens ont ete realises chez KIA."
Kia,22 000 TND,,,RIO,2010,3 000 km,Essence,Manuelle,6 CV,5,Voiture propre et robuste.
Kia,46 000 TND,,,RIO,2019,150 000 km,Essence,Manuelle,5 CV,5,Tres belle kia rio avec 4 nouveau roues
Kia,38 000 TND,,,RIO,2015,190 000 km,Essence,Manuelle,5 CV,5,"Kia Rio Essence 5 chv 4 cylindres tres bien entretenue 0 depense a prevoir (entretien complet roues, batterie, amortisseurs...)

peinture d'origine 0 retouche

Annee 2015

195 000 klm

4 vitres electriques (vitres d'origine)

Bouton Start Stop

Cle intelligente

Volant multifonction

Bluetooth

usb /aux

Climatisation auto (Climatronic)

Accoudoir central

Antibrouillard

double cle"
Kia,22 TND,,,RIO,2011,213 km,Essence,Manuelle,6 CV,5,Kia Rio fin 2011 en bonne etat . toutes en marche besoin d'un simple voile + changement des feux avec un prix attiranta ( 22 milles prix fixe) a cause de besoin d'argent.
Kia,24 000 TND,,,RIO,2011,230 km,Essence,Manuelle,6 CV,5,Non disponible
Kia,34 000 TND,,,RIO,2012,190 km,Essence,Manuelle,5 CV,5,en tres bon etat
Kia,Prix non specifie,,,RIO,2010,200 900 km,Essence,Manuelle,6 CV,5,"A vendre Kia Rio 6 CH 2010 en bon etat.
Voiture disponible a Gabes . Pour plus d'informations contacter 29 296 277 ."
Kia,57 TND,,,RIO,2020,76 km,Essence,Manuelle,5 CV,5,"Je vends ma voiture KIA Rio SX
. Mise en circulation 26/06/2020
. Boite manuelle
. Puissance 5cv/84ch din
. 4 Cylindres
. 76000km
. Consommation moyenne reelle 5,7 L
. 2 pneux avant neufs
. Camera de recul et radar arriere
. Ecran tactile 8 pouces, apple carplay, Android auto, bluetooth
. Bouton star & stop
. Vitres electriques avant/ arriere
. Volant et pommeau de levier de vitesse en cuir
. Cle intelligente acces main libre
. Climatisation climatronic
. 57 MDT????????????????"
Kia,49 500 TND,,,RIO,2020,50 000 km,Essence,Manuelle,5 CV,5,"Age : 4 ans et 8 mois, kilometrage : 50000 environ"
Kia,38 500 TND,,,RIO,2013,157 km,Essence,Manuelle,5 CV,5,"KIA RIO

157.000klm

Motorisation 1.2

4cylindres

Volon multifonction

Bluetooth

Chargeur telephone

Radar de recul

Retroviseurs rabattables"
Kia,27 TND,,,RIO,2010,319 000 km,Essence,Manuelle,6 CV,5,Revision moteur recente -tolerie refaite recemment - 4 optiques neuves - videnge fait recemment - climatiseur en marche - vitres electriques en marche - 4 amortisseurs neufs -
Kia,63 000 TND,,,RIO,2021,93 000 km,Essence,Manuelle,5 CV,5,Kia Rio gt-line
Kia,62 000 TND,,,RIO,2022,71 600 km,Essence,Manuelle,5 CV,5,A vendre Kia Rio gt line modele 2022
Kia,18 500 TND,,,RIO,2011,0 km,Diesel,Manuelle,6 CV,5,A vendre kia rio
Kia,50 TND,,,RIO,2018,140 km,Essence,Manuelle,5 CV,5,Non disponible
Kia,52 500 TND,,,RIO,2019,70 800 km,Essence,Manuelle,5 CV,5,Voiture rouge comme neuve
Kia,32 TND,,,RIO,2013,193 000 km,Essence,Manuelle,5 CV,5,Non disponible
Kia,35 700 TND,,,RIO,2015,190 000 km,Essence,Manuelle,4 CV,5,Non disponible
Kia,40 000 TND,,,RIO,2017,165 000 km,Essence,Manuelle,5 CV,5,Kia rio
Kia,58 500 TND,,,RIO,2021,40 000 km,Essence,Manuelle,4 CV,5,Non disponible
Kia,63 000 TND,,,RIO,2022,67 000 km,Essence,Manuelle,5 CV,5,A vendre Kia rio gtline neuf carnet d'entretien chez maison kia 67000km certifie couleur rouge jamais touche tel:
Kia,57 000 TND,,,RIO,2020,180 000 km,Essence,Automatique,6 CV,5,"KIA RIO 4P BVA EX
Modele H954K461F
Transmission Automatique 6 rapports
Energie Essence
Cylindree (cm3) 1368
Puissance reelle (Ch Din) 100
Puissance fiscale (cv) 6

Equipements

Direction assistee
Systeme d'antiblocage des freins (ABS)
Systeme d'anti patinage (ESP)
Freins disques arriere
Regulateur de vitesse
Airbags frontaux
Feux avant bi-fonctionnels a LED
Projecteurs anti-brouillard
Camera de recul
Detecteur d'obstacles arriere
Fermeture centrale a distance
Vitres teintees
Retroviseurs exterie..."
Kia,55 000 TND,,,RIO,2022,68 000 km,Essence,Manuelle,5 CV,5,A vendre une Kia Rio comme neuve. 1ere main. Encore sous garantie avec carnet d'entretien et factures.
Kia,65 000 TND,,,RIO,2023,6 430 km,Essence,Manuelle,5 CV,5,"Kia Rio smart grise . Premiere main. 2eme voiture de medecin femme, toute neuve. Dernier arrivage de Kia Rio en Aout 2023. 6430 km."
Kia,25 TND,,,RIO,2010,190 km,Essence,Manuelle,6 CV,5,"Kia rio, bon etat, 2eme main,"
Kia,58 500 TND,,,RIO,2022,40 000 km,Essence,Manuelle,5 CV,5,"???????????????????????? "" ???????????? ???????????? ???????????????????????????????? "" ???????????? ???????????????????????????????????????????????????????? :  08/04/2022
 ???????????????????????????? : ????????????????????????????  ???????????????????????????????????? ????????????????????????????: 5????????
????????????????????????????????????????????: 40.000????????  ???????????? ???????????????????????????? :
 ????????????????????????????????????????????????????????
 ??????????????..."
Kia,19 500 TND,,,RIO,2010,321 000 km,Essence,Manuelle,6 CV,5,Voiture premiere main je me vendre a cause de partir de la Tunisie numero WhatsApp
Kia,40 000 TND,,,RIO,2016,152 000 km,Essence,Manuelle,5 CV,5,"Belle voiture , confortable, tout est d'origine, 1ere main, non accidentee."
Kia,44 500 TND,,,RIO,2020,194 000 km,Essence,Automatique,6 CV,5,"Kia Rio, boite vitesse automatique, couleur gris, tres bon etat"
Kia,45 500 TND,,,RIO,2020,204 000 km,Essence,Manuelle,6 CV,5,"Kia Rio Berline, annee 2020, couleur beige, tres bon etat"
Kia,40 500 TND,,,RIO,2015,175 000 km,Essence,Automatique,5 CV,5,Pack Emirates toutes options boite auto toit ouvrant...
Kia,60 500 TND,,,RIO,2021,72 000 km,Essence,Manuelle,5 CV,5,Kia Rio GT Line - Km certifie - peinture maison - avec 4 roues Bridgestone dorigine (juin 2024)
Kia,64 000 TND,,,RIO,2022,75 000 km,Essence,Manuelle,5 CV,5,Non disponible
Kia,34 500 TND,,,RIO,2016,163 000 km,Essence,Automatique,6 CV,5,Karhba ndhifa mouch accidente juste min kodem vernis t9acher o leb9eya dhinet dar
Kia,43 000 TND,,,RIO,2016,123 000 km,Essence,Manuelle,5 CV,5,"A vendre KIA Rio 07/2016
Telephone : 29 483 025
Toutes options
123000 km certifie
5 CV
Jantes alu sport R17
Feux avant et arriere en led
4 Vitre electrique
Retroviseurs rabattables electriquement
Anti brouillard
Essuie-glace automatique (detecteur pluie)
Eclairage automatique
Radar de recul arriere
Fermeture centralisee
Climatiseur
ABS
Airbags
Volant reglable
Siege conducteur reglable
Poste radio cd mp3 usb bluetooth Aux et telephone
Volant multifonction (commande poste et tableau de bord)"
Kia,70 000 TND,,,RIO,2023,36 000 km,Essence,Manuelle,5 CV,5,KIA RIO GTLINE
Kia,Prix non specifie,,,RIO,2014,140 km,Essence,Manuelle,5 CV,5,Disponible kia rio
Kia,Prix non specifie,,,RIO,2020,160 000 km,Essence,Automatique,6 CV,5,Kia rio ndhifa barcha
Kia,63 900 TND,,,RIO,2022,67 600 km,Essence,Manuelle,5 CV,5,"Je vends ma voiture Kia rio gt line annee 05/2022 sous garantie encore
???? Premiere main / 
???? entretien maison kia
????67000km
????essence 5 cv /4 cylindres
????carrosserie gt-line
???? radar de recule/radar avant/camera de recule
???? eclairage full Led avant et arriere
???? Demarrage main libre cle intelligent
???? jante en aluminium par 17
????climatronic bizone
????Usb Apple car play Android bleutouth GPS
????volant Cuir Multi-fonctions a meplat
???? ecran tactile 8 pouces
????vo..."
Kia,43 000 TND,,,RIO,2016,12 123 000 km,Essence,Manuelle,5 CV,5,"A vendre KIA Rio 07/2016
Telephone : 29 483 025
Toutes options
123000 km certifie
5 CV
Jantes alu sport R17
Feux avant et arriere en led
4 Vitre electrique
Retroviseurs rabattables electriquement
Anti brouillard
Essuie-glace automatique (detecteur pluie)
Eclairage automatique
Radar de recul arriere
Fermeture centralisee
Climatiseur
ABS
Airbags
Volant reglable
Siege conducteur reglable
Poste radio cd mp3 usb bluetooth Aux et telephone
Volant multifonction (commande poste et tableau de bord)"
Kia,37 500 TND,,,RIO,2016,237 000 km,Essence,Manuelle,5 CV,5,A vendre kia rio modele 2016 en tres bonne etat 1 ere Main 
Kia,43 TND,,,RIO,2017,126 570 km,Essence,Manuelle,5 CV,5,Non disponible
Kia,Prix non specifie,,,RIO,2016,184 000 km,Essence,Manuelle,5 CV,5,Kia rio blanche en tres bon etat annee 2016 . Escence. 184000 km. Toutes options . Pour plus de renseignement contacter
Kia,65 000 TND,,,RIO,2022,40 000 km,Essence,Manuelle,5 CV,5,"*A vendre : Kia Rio GT Line, Premiere main, sous garantie.*
**Date de mise en circulation : janvier 2022, a l'etat d'origine.**
**Moteur 5 chevaux, 4 cylindres, avec carnet d'entretien. **
*Kilometrage :37 000 km.*

Pour plus dinfos : 

Toutes options :
Kit carrosserie GT-Line
Demarrage mains libres
Radar de recul | Radar avant | Camera de recul
Climatisation Automatique
Jantes en aluminium | 17
Retroviseurs electrique / Rabattable
Regulateur de vitesse
Ecran tactile 8 pouces
Phares Fu..."
Dacia,22 500 TND,,,DOKKER,2014,250 000 km,Diesel,Manuelle,6 CV,4,"DACIA DOKKER annee 2014
 Etat d&amp;#039;origine jamais accidente
 Toutes options (les options tous en marche)
 Tous les papier en regle
Prix 22500 negociable tel 29.402.205"
Dacia,Prix non specifie,,,SANDERO,2015,181 000 km,Essence,Manuelle,5 CV,,"????Dacia Sandero
Essence
????5 ch
????Annee 2015
????181000klm
Climatiseur
Fermeture centrale
Assiste
Double airbage
1ere main
????Disponible a sousse
Contact"
Dacia,75 000 TND,,,AUTRE,2022,80 000 km,Essence,Manuelle,5 CV,5,"???? A vendre : Dacia Sandero Stepway 1.0 TCE 90  2022
Je mets en vente ma Dacia Sandero Stepway, mise en circulation en 03/2022.
Cest une voiture compacte, economique et ideale pour la ville comme pour les deplacements quotidiens.
???? Disponible a Tabarka
Caracteristiques :
Marque : Dacia
Modele : Sandero Stepway
Annee : 2022
Kilometrage : 80 000 km
Motorisation : 1.0 TCE  90 ch
Carburant : Essence
Boite : Manuelle
Portes : 5
Couleur : Noir
Puissance fiscale : 5 CV
???? Prix : 75 000 DT  n..."
Dacia,40 000 TND,,,DUSTER,2015,78 000 km,Essence,Automatique,9 CV,5,"A vendre Renault Duster importe du Golfe
Annee 2015
Kilometrage 78000
Toutes options
Gentes Aluminium
Clima
Vitres teintees electrique
Premiere main
Contact :  /"
Dacia,13 000 TND,,,LOGAN,2011,300 000 km,Diesel,Manuelle,5 CV,4,"Cause depart, vend Dacia logan en bon etat
Pour plus de details, contactez moi au  watsap"
Dacia,34 500 TND,,,SANDERO,2021,N/A,Essence,Manuelle,,5,"Dacia Sandero Importe
Essence Model 2021
Tel"
Dacia,36 000 TND,,,SANDERO,2015,190 000 km,Essence,Manuelle,5 CV,5,"???? A Vendre : Dacia Sandero 2015
???? Date de mise en circulation : 12/06/2015
???? Kilometrage : 190 000 km
 Moteur : 4 cylindres  5 chevaux (moteur Symbole)
???? Etat : Tres bon etat  aucune depense a prevoir
???? Carrosserie et interieur propres
???? Voiture economique, fiable et bien entretenue

???? Prix : 36 000 DT (legerement negociable)
???? Disponible a : Moknine et Sousse
???? Contact : 98 979 006"
Dacia,26 900 TND,,,DOKKER,2014,253 000 km,Diesel,Manuelle,6 CV,3,"VEND DOKKER 1.5 DCI 6 CV BIEN EQUIPEE ENTRETIEN CONCESSIONNAIRE
VEND DOKKER EN BONNE ETAT :
- CAMERA ET RADAR DE RECUL
- POSTE ANDROID SANS FIL 10 POUCES
- ENTRETIEN PERIODIQUE CHEZ CONCESSIONNAIRE ET AMMORTISSEURS, CHAINE, KIT EMBRAYAGE CHANGES CHEZ CONCESSIONNAIRE (FACTURES).
- MOTEUR 1.5 DCI - 6 CV EN PARFAITE ETAT
- KILOMETRAGE : 253 MILLE KM
PRIX LEGEREMENT NEGOCIABLE 26900 DT CONTACTER : TEL"
Dacia,65 000 TND,,,DUSTER,2021,177 938 km,Diesel,Manuelle,6 CV,5,"DACIA DUSTER 4x4 1.5 puissante et economique en tres bon etat , toute option"
Dacia,35 000 TND,,,DUSTER,2013,234 214 km,Essence,Manuelle,7 CV,5,"Dacia Duster en tres bon etat , toute option"
Dacia,36 000 TND,,,SANDERO,2021,130 000 km,Essence,Manuelle,5 CV,5,Propre voiture pour plus d'informations appelez le
Dacia,36 500 TND,,,SANDERO,2021,120 000 km,Essence,Manuelle,5 CV,5,Tres propre voiture d'une femme..pour plus d'informations appelez
Dacia,62 000 TND,,,SANDERO,2023,19 000 km,Essence,Automatique,6 CV,5,Non disponible
Dacia,Prix non specifie,,,SANDERO,2017,82 000 km,Essence,Manuelle,5 CV,5,"Bonjour
Belle voiture, deuxieme main.
Je vends cette voiture car jai acquis une autre voiture plus recente.
Sinon, elle est en excellent etat mecanique.
Juste quelques petites rayures sur la carrosserie, normales pour son age.
Elle est tres bien equipee, avec toutes les options, y compris le radar de recul
Kl 82000"
Dacia,60 000 TND,,,DUSTER,2015,200 km,Diesel,Manuelle,6 CV,5,dacia duster prestige edition allemand
Dacia,24 000 TND,,,DOKKER,2016,340 000 km,Diesel,Manuelle,6 CV,3,Non disponible
Dacia,14 900 TND,,,LOGAN,2012,271 000 km,Diesel,Manuelle,6 CV,3,Dacia logan model 2012
Dacia,30 000 TND,,,DOKKER,2019,218 000 km,Diesel,Manuelle,6 CV,3,"Dacia dokker
1ere main
Avril 2019
213000 km
Bien entretenue(maison renault)
Climatiseur en marche
4 pneus neufs
Prix 32.000d
Tel"
Dacia,30 TND,,,DOKKER,2020,150 km,Diesel,Manuelle,6 CV,3,Non disponible
Dacia,32 000 TND,,,DOKKER,2019,223 000 km,Diesel,Manuelle,6 CV,5,"Dacia Dokker diesel en tres bon etat
Climatise
Direction assiste
Vitres electriques
Fermeture centrale
Commande a distance
Annee 2019 kilometrage 223000 km
Carnet d'entretien
Double cle
tel :"
Dacia,39 000 TND,,,DUSTER,2012,212 000 km,Diesel,Manuelle,5 CV,5,Tres bon etat..tres economique
Dacia,35 TND,,,SANDERO,2015,185 300 km,Essence,Manuelle,5 CV,5,Daciastepway montage suisse a vendre
Dacia,39 000 TND,,,SANDERO,2017,137 500 km,Essence,Manuelle,5 CV,5,Dacia sandero stepway toutes options importee de France Tres bon etat general - entretenue exclusivement dans un garage renault avec toutes les factures - dernier entretien general en avril 2025 - 2 pneus neufs a l'avant Paiement seulement en Euro 11500 Disponible a partir du 09 juin 2025
Dacia,36 500 TND,,,DUSTER,2014,200 km,Diesel,Manuelle,6 CV,5,Premiere main toutes options
Dacia,50 TND,,,LOGAN MCV,2021,5 000 km,Essence,Manuelle,5 CV,5,"A vendre : Dacia Logan MCV 2021 ????

Annee : 5/2021 . premier main
Kilometrage : 5 000 km Nouvel moteur change apres 120 Mille
Nouvel moteur d'origine de maison Renault avec facture
Moteur robuste et economique
Transmission manuelle
Espace genereux pour toute la famille
Climatisation pour votre confort
 T t d'origine
 Prix raisonnable"
Dacia,35 000 TND,,,SANDERO,2018,120 km,Essence,Manuelle,4 CV,5,Voiture propre
Dacia,38 000 TND,,,SANDERO,2014,155 000 km,Essence,Manuelle,5 CV,5,A vendre dacia Sandero Stepway en tres bonne etat importe d'Allemagne
Dacia,12 000 TND,,,LOGAN MCV,2012,150 000 km,Diesel,Manuelle,6 CV,5,Voiture en bon etat prix legerement negociable
Dacia,50 000 TND,,,SANDERO,2020,132 000 km,Diesel,Manuelle,5 CV,5,Dacia Sandero Stepway 1.5dci 95ch importe de France mise en circulation en France 2020 full options kilometrage 132000 km
Dacia,23 TND,,,DOKKER,2014,247 000 km,Diesel,Manuelle,5 CV,3,A vendre daccia dokker
Dacia,1 TND,,,LOGAN,2014,236 000 km,Essence,Manuelle,5 CV,5,       
Dacia,39 000 TND,,,LOGAN MCV,2018,174 000 km,Essence,Manuelle,5 CV,5,"A vendre
Dacia Logan MCV
annee 2018
Kilometrage 174 000km
Tolerie a l'origine
Tts options
Kol chy en marche: climatisation poste radio Bluetooth aux usb
Vitres electriques Fermeture centrale
Plus d'info 50 149 677 ????"
Dacia,1 234 TND,,,DOKKER,2019,45 000 km,Essence,Manuelle,6 CV,5,"????DACIA DOKKER 5 Places
 Tel : 53 850 850 / 94 157 778
????02-2019
????Essence 1.2L 6 CV
????Kilometrage 45 000km
Antibrouillard
Radar de recul
Detecteur de luminosite
Camera de recule
Detecteur de pluie
Fermeture centralisee
Feux De Jour LED
Jantes en alliage
Peinture metallisee
Retroviseurs electriques Rabattables
Vitres teintees
Bluetooth
Boite a gants refrigeree
Climatronic
Connectivite Aux, usb, iPod
Direction assistee
Ordinateur de bord
Regulateur de vitesse
Sieges T..."
Dacia,32 000 TND,,,DOKKER,2020,190 000 km,Diesel,Manuelle,6 CV,3,A VENDRE VOITURE DACIA DOKKER KILOMETRAGE 190 000 KM .....ANNEE DE MISE EN CIRCULATION 2020
Dacia,22 000 TND,,,DOKKER,2016,260 000 km,Diesel,Manuelle,5 CV,5,Non disponible
Dacia,21 TND,,,LOGAN,2010,N/A,Diesel,Manuelle,5 CV,5,dacia lougan diesel 7 blase
Dacia,28 000 TND,,,LOGAN MCV,2012,280 000 km,Diesel,Manuelle,4 CV,5,"Dacia Logan MCV, 7 places, tres bon etat

Modele : Dacia Logan MCV
Annee de fabrication et de mise en circulation : 2012
Kilometrage : 280 000 km
Moteur : Diesel 1.5 dCi

Caracteristiques :
Premiere main
7 places
Climatisation
Vitres avant electriques
Prix : 28.000 DT
Contact(Assil) : 52 964 319

Voiture tres bien entretenue, ideale pour une famille.
N'hesitez pas a me contacter pour plus d'informations ou pour une visite."
Volkswagen,38 000 TND,,,Jetta,2011,18 000 km,Essence,Manuelle,7 CV,4,Voiture tres propre bien entretenu 2 main toute options 4 pneus neufs route de secours jamais touche detecteur d&amp;#039;obstacles avant et arriere camera de recul poste Android origine regalateur de vitesse vitre electrique avant et arriere
Volkswagen,45 000 TND,,,Golf 6,2012,209 000 km,Essence,Manuelle,5 CV,5,"Golf 6 tsi 1.2 bluemotion boite 6 modele 2012
1er main importer carrosserie et peinture origine jamais toucher tout les vitres origine volkswagen moteur et mecanique aucun default 209 000 km certifier j accepte diagnostic tout les entretien sont faite double cle plusieurs option gps integrer origine les 4 roues neuf tlf. 50 911 785
????????????e???? : ????????????????
???????????????????????? &quot;????????&quot;
 ???? ???????????????????? ????????????????????
????e??????????????????????????..."
Volkswagen,Prix non specifie,,,Golf 6,2013,288 000 km,Diesel,Manuelle,5 CV,5,"Golf 6 TDI
ANNEE 2013/04
Kilometrage 288.000klm
5 chevaux gasoil
Salon cuir
Volant multifonction
Climatronic
Camera de recul
Feu LED
Jamais accidente
Tel:"
Volkswagen,Prix non specifie,,,Polo,2022,85 000 km,Essence,Manuelle,5 CV,5,"????Modele : polo sedan
????Annee :05/2022
????Km : 85.000klm
????Emplacement : Gafsa
????Carburant : 1.4Essence 5cv 4 cylindre
????toutes options, 1ere main, 4 vitres electriques, double cle, direction assistee, voiture jamais accidentee, abs, propre, bien entretenu interieur et exterieur, tout dorigine, retroviseurs electriques , telephone integre par Bluetooth, ,
CONTACTEZ le :"
Volkswagen,32 000 TND,,,Caddy,2013,200 000 km,Essence,Manuelle,7 CV,,"???? 
7cv
Annee 2013
Km 200
Penture original"
Volkswagen,95 000 TND,,,Tiguan,,99 000 km,Essence,Manuelle,6 CV,5,"????????T Roc highline
Voiture recemment importe d&#039;Allemagne jamais servie en tunisie
Essence 6 chevaux 99000 km
???????? Modele exclusif full option
 Jantes par 19 highline ????
 Double Toit ouvrant panoramique
 Feux LED signature
 Compteur Digital
.climatisation tactile
 Ambient Light premium
 Interieur highline cuir et alcantara
 Capteurs avant/arriere
 Lane Assist, Front Assist
 Clim Bi-zone
 CarPlay / Android Auto
Pour plus d&#039;informations"
Volkswagen,20 000 TND,,,Passat,2007,220 000 km,Essence,Automatique,12 CV,4,Voiture sans moteur
Volkswagen,35 000 TND  Echange possible,,,Passat,2010,200 000 km,Essence,Manuelle,6 CV,5,"PASSAT B7 1.6 Essence
2010 /3
K 200
Vente ou echange possible
T:"
Volkswagen,Prix non specifie,,,Golf,2012,210 000 km,Essence,Manuelle,5 CV,5,"Golf 6 Essence
4 cylindres 1.4 L
Moteur Atmospherique
Le plus fiable
Model 2012
210 Kilometres certifier
Entretien maison avec facture
Carnet d&#039;entretien disponible...
Tres propre int et ext
Tous les vitres origine
Climatiseur fiable et puissant
Jantes aluminium origine
Les pneus propre
Roue de secours jamais servie
Plus +++ des options de confort .
Tel 20 520 730
Pas de message SVP ..."
Volkswagen,Prix non specifie,,,Polo,2001,N/A,Essence,Manuelle,4 CV,5,polo4 essence 4cv tout options 2001
Volkswagen,Prix non specifie,,,Golf,,N/A,Essence,Manuelle,,5,"Golf 4 1.4 essence
Salon cuir
Jant aluminium pneus neuf
Tt option
Prix tl:"
Volkswagen,72 000 TND,,,Golf 7,2017,116 000 km,Essence,Manuelle,6 CV,5,"???? Tres bon etat general
Details du vehicule :
Marque / Modele : Volkswagen Golf 7
Finition : Confortline
Annee : 06/2017
Motorisation : Essence 1.2 TSI  6 CV fiscaux
Boite de vitesses : Manuelle 6 rapports
Kilometrage : 116 000 km (a la date de lannonce)
Couleur : Gris Champagner (Volkswagen)
Proprietaire : Premiere main
Entretien : Suivi a jour chez le concessionnaire (carnet disponible)
???? Equipements et options :
Camera de recul
Climatisation automatique
Jantes en alliage
Volant multif..."
Volkswagen,29 500 TND,,,Polo,,294 000 km,Essence,Manuelle,5 CV,,"Annee 2010
Moteur 1.4
5 ch essence
4 cylindre
Km 294000 km
Avendre /Echange
Tel 

Disponible a ibn sina tunis"
Volkswagen,Prix non specifie,,,Golf,2015,115 000 km,Essence,Manuelle,5 CV,5,Voiture tres Propre plusieurs option Kit R-Line Lounge.
Volkswagen,13 200 TND,,,Polo,2000,N/A,Essence,Manuelle,,5,"Polo3 1.4
karhbandhifa kahlijiya
Assiste fermeture centralisee
Pour plus information tel 24 086 834"
Volkswagen,40 000 TND,,,Polo,2019,198 000 km,Essence,Manuelle,4 CV,4,"A vendre : Superbe Volkswagen Polo 8, mise en circulation en Juillet 2019.
Cette voiture est ideale pour la ville et les longs trajets grace a sa motorisation 4 CV Essence economique et fiable.

 Etat : Irreprochable ! Toujours tres bien entretenue, interieur et exterieur extremement propres.
 Performance : Moteur en tres bonne sante, aucun frais mecanique a prevoir.
 Prix : 40 000 TND (Legerement negociable devant la voiture)."
Volkswagen,Prix non specifie,,,Polo,2022,104 000 km,Essence,Manuelle,5 CV,5,Polo sedan modele 2022 peinture d&#039;origine machiya 104000km 5 cv moteur 1.4 quatre pneus neuf etat d&#039;origine tel
Volkswagen,62 000 TND,,,Polo,2024,20 000 km,Essence,Manuelle,6 CV,5,"Volkswagen Virtus
Prix 62 MD
Premiere main , etat neuf , sans aucune rayure .
Annee 12/2023
Kilometrage 20.000
Boite manuelle 06 rapport
Full Led
Jante allu 16&amp;quot;
Ecran tactil , android car play ...
Radar de recul
04 vitres electrique ...
Visible a Sousse
23 530 960"
Volkswagen,Prix non specifie,,,Polo,2011,294 800 km,Essence,Manuelle,4 CV,2,A vendre polo 7 essence Modele 2011 kilometrage 294800 TLF
Volkswagen,43 000 TND,,,Polo,2018,144 000 km,Essence,Manuelle,4 CV,5,Polo sedan premiere main presque neuve annee 2018.machia 144000km. Veuillez me contacter sur le numero
Volkswagen,43 000 TND,,,Passat,2008,128 000 km,Essence,Manuelle,7 CV,5," 50 307 994. Prix : 43.000
Premiere main km 128.000 reel!!!!!
Moteur 1.6 essence 7cv 4 cyldre
2008
5 pneu Michelin neuf!!!
Voiture tres propre"
Volkswagen,Prix non specifie,,,Polo,2007,202 000 km,Essence,Manuelle,5 CV,5,"VOLKSWAGEN POLO 6

 Caracteristiques :
 Mise en circulation :2007
 Kilometrage :202.000
 Premiere main

 Les options :
 Toutes options
 AirBag
 Climatiseur
 Double cle

Un vehicule economique, fiable et bien entretenu
 Contact :"
Volkswagen,22 000 TND,,,Polo,2008,N/A,Essence,Manuelle,5 CV,,"contacte : 54 715 716 ou 21 745 002
22 mille dinars
Polo 6 essence double arbracam
5ch essence Annee 2008"
Volkswagen,43 000 TND,,,Golf 7,2015,1 000 km,Essence,Manuelle,6 CV,5,"Derniere serie
Importe de l&#039;Allemagne
6cv
1.4 / boite 6 / 4 cylindres"
