Modèle,Version,Prix,Promo,DISPONIBILITÉ,CARROSSERIE,GARANTIE,NOMBRE DE PLACES,NOMBRE DE PORTES,NOMBRE DE CYLINDRES,ENERGIE,PUISSANCE FISCALE,PUISSANCE (CH.DIN),COUPLE,CYLINDRÉE,BOÎTE,NOMBRE DE RAPPORTS,TRANSMISSION,LONGUEUR,LARGEUR,HAUTEUR,VOLUME DU COFFRE,VOLUME DU COFFRE MAXIMAL,0-100 KM/H,VITESSE MAXI,CONSOMMATION MIXTE,AIRBAGS,ANTI-PATINAGE,ASSISTANCE AU FREINAGE,CONTRÔLE DE PRESSION DES PNEUS,AIDE AU DÉMARRAGE EN CÔTE,AIDE AU STATIONNEMENT,CONTRÔLE DE STABILITÉ ANTI-RETOURNEMENT,SYSTÈME DE DESCENTE EN CÔTE,FEUX À LED,JANTES,PHARES,AUTORADIO,CONNECTIVITÉ,ECRAN CENTRAL,ACCOUDOIRS,APPUIS TÊTES ARRIÈRES,SELLERIE,SIÈGES,SIÈGES RÉGLABLES EN HAUTEUR,TOIT,VOLANT,VOLANT RÉGLABLE,ALIMENTATION ÉLECTRIQUE,COFFRE À BAGAGES,CLIMATISATION,FERMETURE CENTRALISÉE,FREIN DE STATIONNEMENT,MODES DE CONDUITE,RÉTROVISEURS EXTÉRIEURS,INSTRUMENTATION DIGITALE,VITRES ÉLECTRIQUES,URL,CONSOMMATION URBAINE,CONSOMMATION EXTRA-URBAINE,ALARME ANTIVOL,ALERTE DE RISQUE DE COLLISION,BARRE STABILISATRICE,AIDE AU MAINTIEN DANS LA VOIE,CONDUITE AUTONOME,DIRECTION ASSISTÉE,RÉGULATEUR DE VITESSE,RECONNAISSANCE DES PANNEAUX,ELÉMENTS EXTÉRIEURS COULEUR CARROSSERIE,PEINTURE,POIGNÉES DE PORTES,POMMEAU DE LEVIER DE VITESSE,BOUTON START & STOP,CLÉ INTELLIGENTE,CALANDRE,FINITION INTÉRIEURE,VITRES,PUISSANCE THERMIQUE (CH.DIN),PUISSANCE ÉLECTRIQUE,BATTERIE,COUPLE ÉLECTRIQUE,AUTONOMIE ÉLECTRIQUE (WLTP),AUTONOMIE ÉLECTRIQUE (NEDC),KIT SÉCURITÉ,BAGUETTES EXTÉRIEURES D'ENCADREMENT DES VITRES,KIT RANGEMENT,ANTIBROUILLARDS,ORDINATEUR DE BORD,RÉTROVISEUR INTÉRIEUR,EMISSIONS DE CO2,CONSOMMATION ÉLECTRIQUE (WLTP),TEMPS DE RECHARGE NORMALE (AC),TEMPS DE RECHARGE RAPIDE (DC),ALERTE DE FRANCHISSEMENT DE LIGNE,ALERTE DE CIRCULATION TRANSVERSALE,ASSISTANT DE FEUX DE ROUTE,SURVEILLANCE D’ANGLE MORT,SEUILS DE PORTES,BARRES DE TOIT,CHARGE UTILE,TABLEAU DE BORD,SPOILER ARRIÈRE,Ancien Prix,NOMBRE DE MOTEURS ÉLECTRIQUES,VOLUME DU COFFRE AVANT,CAPACITÉ DE RECHARGE MAXIMALE (AC),LUMIÈRES D'AMBIANCE,PÉDALIERS,DIFFÉRENTIEL AUTOBLOQUANT,CONTRÔLE DU ROULIS DE LA REMORQUE,LIMITEUR DE VITESSE,KIT CARROSSERIE,NAVIGATION,CONNECTED DRIVE,TAPIS DE SOL,DÉTECTEUR DE FATIGUE,VOLUME UTILE,ARCEAU DE BENNE,MARCHEPIEDS LATÉRAUX,BOULE D'ATTELAGE,CAMÉRA D'ANGLE MORT,TRAIN ROULANT,SURFACE DE CHARGEMENT,CIEL DE PAVILLON,SORTIES D’ÉCHAPPEMENT,FREINAGE,SUSPENSION,PORTES EN ÉLYTRE,STORES PARE-SOLEIL
"HYUNDAI KONA ELECTRIC
39 KWH",Version unique,123 900 DT,Non,Disponible,SUV,5 ans ou 100000 km | Batterie garantie 8 ans ou 160.000 KM,5,5,,Electrique,3 CV,136 CH,395 nm 0 tr/min,,Automatique,,Traction,4205 mm,1800 mm,1570 mm,332 L,1114 L,9.9 s,155 KM/H,,Frontaux | Latéraux | Rideaux,ESP,AFU | EBA | EBD | HBA | Freinage automatique anti-collision (AEB) | VDC,,,Radar de recul | Caméra de recul,,DBC,Feux de jour | Avant | Arrières,En aluminium | 17'',Full LED,4 haut-parleurs | Commandes au volant,USB | Android Auto | Apple Carplay | AUX | Bluetooth | Chargeur de téléphone sans fil,Tactile | 8 pouces,Arrière | Avant conducteur,3,Cuir,Conducteur à réglage électrique | Réglage lombaire,Conducteur et passager,Ouvrant,Cuir | Multi-fonctions,En hauteur et en profondeur,2 prises 12 V,,Automatique,À distance,Éléctrique,Sport | Eco,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,10.25 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/hyundai/kona-ev/bva,,,Périmétrique,FCW,,,,Électrique,Adaptatif (ACC),,,,,Cuir,Démarrage mains libres,Accès mains libres | Démarrage à distance,,,Parebrise athermique | Lunette et vitres arrières sur-teintées,,,39.2 kWh,,317 km,,,,Poches aumônières,,,Anti-éblouissement,,14.3 kWh/100 km,4.8 heures,54 minutes,,,,,,,,,,,1,,,,,,,Intelligent,,,,,,,,,,,,,,,,,,
"BYD ATTO 3
60.48 KWH",Version unique,123 990 DT,Non,Disponible,SUV,6 ans ou 150.000 km | Batterie garantie 8 ans ou 200.000 km,5,5,,Electrique,5 CV,204 CH,310 nm 0 tr/min,,Automatique,,Traction,4455 mm,1875 mm,1615 mm,440 L,,7.3 s,160 KM/H,,Frontaux | Latéraux | Rideaux,ESP | TCS,EBD | HBA | Freinage automatique anti-collision (AEB) | VDC,TPMS,HHC,Radar de recul | Radar avant | Système de caméras 360,,HDC,Feux de jour | Avant | Arrières | Clignotants à défilement,En aluminium | 18'' | Bi-ton,LED,8 haut-parleurs | Commandes au volant,2 USB | 2 USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 12.8 pouces | Rotatif,Avant | Arrière,3,Similicuir,Conducteur à réglage électrique | 6 directions,Conducteur,Ouvrant | Panoramique,Similicuir | 3 branches | Multi-fonctions,En hauteur et en profondeur,1 prise 12 V | Chargeur inversé (V2L),,Automatique | Bizone | Ventilation arrière,À distance,Éléctrique | EPB,Normal | Sport | Eco,Électriques | Rabattables | Dégivrants,5 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/byd/atto-3/bev,,,,FCW,,LKA,,,,TSR,Pare-chocs | Poignées de portes | Rétroviseurs,Métallisée,,,Démarrage mains libres,Accès mains libres | Démarrage à distance,,,,,,60.48 kWh,,420 km,,,Chrome,Poches aumônières,,,Anti-éblouissement,,14.9 kWh/100 km,5 heures,30 minutes,,Rear Cross Traffic Monitor,,,,Aluminium,,,,,1,,,LED,,,,,,,,,,,,,,,,,,,,,,
"TOYOTA COROLLA SEDAN HYBRIDE
1.8 L",Version unique,124 800 DT,Non,Disponible,Berline,3 ans ou 100.000 km | Batterie garantie 5 ans ou 150.000 km,5,4,4,Essence | Hybride,5 CV,122 CH,142 nm 5200 tr/min,1798 CM³,Automatique,6,Traction,4630 mm,1780 mm,1435 mm,471 L,,11 s,180 KM/H,4.2 L/100 km,Frontaux | Latéraux | Rideaux,VSC,EBA | EBD,,,Radar de recul | Radar avant | Caméra de recul,,,Feux de jour | Arrières,En aluminium | 17'' | Bi-ton,Full LED,Commandes au volant | Toyota Touch,USB | AUX | Bluetooth | Chargeur de téléphone sans fil,Tactile | 8 pouces,Avant | Arrière,2,Cuir/Tissu,Réglage lombaire,Conducteur et passager,,Cuir | Multi-fonctions,En hauteur et en profondeur,,,Automatique | Bizone,À distance,Éléctrique,Normal | Sport | Eco | EV Mode,Électriques | Rabattables,,Avant/Arrière,https://www.automobile.tn/fr/neuf/toyota/corolla-sedan-hybride/1.8-l-hybride,4.0 L/100 km,4.4 L/100 km,,,,,,,,,Poignées de portes,,,Cuir,Démarrage mains libres,Accès mains libres,Noire,Noir brillant,Lunette et vitres arrières sur-teintées,,,,,,,,,,LED,Ecran TFT 7'',Anti-éblouissement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD TERRITORY,1.5 L EcoBoost Titanium,124 900 DT,Non,Sur arrivage,SUV,3 ans ou 100.000 km,5,5,4,Essence,8 CV,160 CH,248 nm 1500 tr/min,1490 CM³,Automatique,7,Traction,4630 mm,1935 mm,1706 mm,448 L,1422 L,10.2 s,180 KM/H,7.0 L/100 km,Frontaux | Latéraux | Rideaux,ESP | TCS,EBD,,,Radar de recul | Radar avant | Système de caméras 360,RSC,,Feux de jour | Avant | Arrières | Clignotants à défilement,En aluminium | 18'',Full LED,6 haut-parleurs | Commandes au volant | Système audio Arkamys 3D,USB | USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil | Mirrorlink,Tactile | 12 pouces,Avant | Arrière,3,Cuir,Conducteur à réglage électrique | 10 directions | Réglage lombaire,Conducteur,,Cuir | Multi-fonctions,En hauteur et en profondeur,,Ouverture à distance,Automatique | Bizone | Ventilation arrière,À distance,Éléctrique,Normal | Sport | Eco | Montagne,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,7 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/ford/territory/1.5-l-ecoboost-titanium#specs,8.5 L/100 km,6.2 L/100 km,Anti-soulèvement,,,,,Électrique,,,,Métallisée,Chromées,Rotatif,Démarrage mains libres,Accès mains libres,Chromée,,,,,,,,,,Chrome,,LED,,Anti-éblouissement,168 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JEEP RENEGADE
1.4 TURBO 4X2 LIMITED BVA",Version unique,126 500 DT,Non,Indisponible,SUV,3 ans ou 100.000 km,5,5,4,Essence,8 CV,140 CH,230 nm 1750 tr/min,1368 CM³,Automatique,6,Traction,4255 mm,1805 mm,1697 mm,351 L,,10.9 s,181 KM/H,6 L/100 km,Frontaux | Latéraux | Rideaux,ESP,,,,Caméra de recul,,,,En aluminium | 17'',,6 haut-parleurs | Commandes au volant | Uconnect,USB | Android Auto | Apple Carplay | AUX | Bluetooth | Commande vocale,Tactile | 7 pouces,Avant,3,Tissu,,Conducteur,Ouvrant | Panoramique | +6000 DT,Cuir | Multi-fonctions,En hauteur et en profondeur,,,Automatique | Bizone,À distance,Éléctrique,,Électriques | Chromés,,Avant/Arrière,https://www.automobile.tn/fr/neuf/jeep/renegade/1.4-turbo-limited-bva-4x2,7.6 L/100 km,5.1 L/100 km,,,,,,,,,,,,,Démarrage mains libres,,Chromée,,Lunette et vitres arrières sur-teintées,,,,,,,,,,,Ecran TFT 7'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAT ATECA,1.4 L TSI Style,127 980 DT,Non,Disponible,SUV,3 ans,5,5,4,Essence,8 CV,150 CH,250 nm 1500 tr/min,1395 CM³,Automatique,8,Traction,4381 mm,1841 mm,1615 mm,510 L,,8.5 s,201 KM/H,6.3 L/100 km,Frontaux | Latéraux | Genoux | Protège-tête,ESP,,,,Radar de recul | Caméra de recul,,,Feux de jour | Avant | Arrières | Clignotants à défilement,En aluminium | 18'',LED,Commandes au volant,USB-C | Android Auto | Apple Carplay | Bluetooth,Tactile | 8.25 pouces,Avant | Arrière,3,Alcantara | Cuir | Tissu,Réglage lombaire,Conducteur et passager,Ouvrant | Panoramique,Cuir | Multi-fonctions | Sport | Avec palettes,En hauteur et en profondeur,,,Automatique,À distance,Éléctrique,,Électriques | Dégivrants,Digital Cockpit,Avant/Arrière,https://www.automobile.tn/fr/neuf/seat/ateca/2020-1.4-l-tsi-style#specs,7.4 L/100 km,5.7 L/100 km,,,,,,Servotronic,,,,,,Cuir,Démarrage mains libres,Accès mains libres,,,,,,,,,,,Chrome,Poches aumônières,,,Anti-éblouissement,,,,,,,,,,Chromées,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GEELY STARRAY
1.5 L TURBO GF+",Version unique,129 800 DT,Non,Disponible,SUV,6 ans ou 200.000 km,5,5,4,Essence,9 CV,174 CH,270 nm 2000 tr/min,1498 CM³,Automatique,7,Traction,4670 mm,1900 mm,1705 mm,650 L,,7.9 s,215 KM/H,6.3 L/100 km,Frontaux | Latéraux | Rideaux,ESC | TCS,EBA | EBD | HBA | Système anti-collision avec détection des piétons | Freinage automatique anti-collision (AEB) | VDC,TPMS,Autohold | HHC,Radar de recul | Radar avant | Système de caméras 360,RMI,HDC,Feux de jour | Avant | Arrières,En aluminium | 20'',Full LED,5 haut-parleurs,4 USB | Bluetooth | Chargeur de téléphone sans fil | Mirrorlink,Tactile | 13.2 pouces,Avant | Arrière,,Cuir artificiel,Électriques | 6 directions | Réglage lombaire,Conducteur et passager,Ouvrant | Panoramique,Cuir | Multi-fonctions | Sport,En hauteur et en profondeur,1 prise 12 V,Ouverture et fermeture motorisées,Automatique | Bizone,À distance,Éléctrique,Confort | Sport | Eco | Intelligent,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,10.2 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/geely/starray/1.5-l-turbo-gfplus,,,,,,LKA,,,Adaptatif (ACC),TSI,Pare-chocs | Poignées de portes,,,Cristal,Démarrage mains libres,Accès mains libres,Avec signature lumineuse LED,Chromée,,,,,,,,,,,,,,,,,,LDW,,IHC,,,,,Alcantara,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GWM HAVAL H6 HYBRIDE
1.5 T HEV",Version unique,129 900 DT,Non,Disponible,SUV,7 ans ou 200000 km | Batterie garantie 8 ans ou 160.000 KM,5,5,4,Essence | Hybride,8 CV,240 CH,530 nm 4000 tr/min,1499 CM³,Automatique,,Traction,4703 mm,1886 mm,1730 mm,600 L,,8.5 s,180 KM/H,5.2 L/100 km,Frontaux | Latéraux | Rideaux,ESC | ESP,AFU | Active City Brake | EBA | BAS | EBD | Système anti-collision avec détection des piétons | Freinage automatique anti-collision (AEB),TPMS,HHC,Radar de recul | Radar avant | Système de caméras 360 | Parkassist | Détection du trafic en marche arrière,,HDC,Feux de jour | Avant | Arrières,En aluminium | 19'',Full LED,8 haut-parleurs | Commandes au volant,USB | USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 14.6 pouces,Avant | Arrière,3,Similicuir,Électriques | Chauffants | Ventilés | Réglage lombaire | Fonction mémoire,Conducteur,Ouvrant | Panoramique,Cuir | Multi-fonctions,En hauteur et en profondeur,2 prises 12 V,Ouverture et fermeture motorisées | Ouverture mains libres,Automatique | Bizone,À distance,Éléctrique,Normal | Sport | Eco | Neige,Électriques | Rabattables | Avec clignotants intégrés,10.25 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/great-wall/h6-hybride/1.5-t-hev-2026,,,Périmétrique,RCW,Avant | Arrière,,Niveau 2,Électrique,Adaptatif (ACC),TSR,Pare-chocs | Poignées de portes | Rétroviseurs,Métallisée,,,Démarrage mains libres,Accès mains libres,,,Lunette et vitres arrières sur-teintées,150 CH,177 CH,,300 nm,,,,Noir Brillant,Porte-lunettes,Avec fonction Cornering,,Anti-éblouissement,,,,,,,,,Eclairés,,,,,,,,,LED,,,,,Black Pack,,,,,,,,,,,,,,,,,
"SUZUKI JIMNY 5 PORTES
1.5 L 4X4 GLX BVA",Version unique,129 900 DT,Non,Disponible,SUV,3 ans,4,5,4,Essence,6 CV,102 CH,130 nm 4000 tr/min,1462 CM³,Automatique,4,Intégrale,3965 mm,1645 mm,1705 mm,211 L,,N.C,145 KM/H,6.8 L/100 km,Frontaux | Latéraux | Rideaux,ESP,,,,Radar de recul | Caméra de recul,,,Feux de jour,En aluminium | 15'',LED,Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth,Tactile | 9 pouces,,,Tissu,,,,3 branches,En hauteur,1 prise 12 V,,Automatique,À distance,,,Électriques | Noirs,,Avant/Arrière,https://www.automobile.tn/fr/neuf/suzuki/jimny-5p/1.5-l-gl-4x4-bva,7.7 L/100 km,6.2 L/100 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MINI COOPER ELECTRIC
36.6 KWH CLASSIC",Version unique,129 900 DT,Non,Disponible,Citadine,5 ans (2+3),4,3,,Electrique,4 CV,184 CH,290 nm 0 tr/min,,Automatique,,Traction,3858 mm,1756 mm,1460 mm,210 L,800 L,7.3 s,160 KM/H,,Frontaux | Latéraux | Rideaux,,Freinage automatique anti-collision (AEB),,,Radar de recul | Radar avant | Caméra de recul | Parkassist,,,Feux de jour | Avant | Arrières,En aluminium | 17'' | Bi-ton,Full LED,Commandes au volant | Radio numérique DAB,USB-C | Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,Tactile,Avant,,Similicuir,,Conducteur et passager,,Cuir | Chauffant | Multi-fonctions | Sport,En hauteur et en profondeur,,,Automatique | Bizone,À distance,Éléctrique,,Électriques | Rabattables | Dégivrants,,Avant,https://www.automobile.tn/fr/neuf/mini/cooper-e/36.6-kwh-classic,,,,,,,,,,,,,,,Démarrage mains libres,Accès mains libres,,,Calorifuges,,,36.6 kWh,,300 km,,Triangle de présignalisation | Trousse de premiers secours,,,,,Anti-éblouissement,,14.3 kWh/100 km,4.25 heures,28 minutes,,,,,,,,,,,1,,,,,,,,,GPS,Teleservices | Connected+,Velours,,,,,,,,,,,,,,
KIA NIRO HYBRIDE,1.6 L EX,129 980 DT,Non,Disponible,SUV,5 ans,5,5,4,Essence | Hybride,5 CV,141 CH,265 nm 1000 tr/min,1580 CM³,Automatique,6,Traction,4420 mm,1825 mm,1560 mm,401 L,,10.8 s,165 KM/H,4 L/100 km,Frontaux | Latéraux | Rideaux | Genoux conducteur,ESC,Système anti-collision avec détection des piétons | Freinage automatique anti-collision (AEB) | Freinage multi-collision,,HAC,Radar de recul | Radar avant | Caméra de recul,,,Feux de jour | Avant | Arrières,En aluminium | 18'',Full LED,Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 8 pouces,Avant | Arrière,,Cuir/Tissu,Conducteur à réglage électrique | Réglage lombaire,Conducteur,,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,1 prise 12 V,,Automatique | Bizone | Ventilation arrière,À distance,Éléctrique,Sport | Eco,Électriques | Dégivrants,,Avant/Arrière,https://www.automobile.tn/fr/neuf/kia/niro/1.6-l-ex#specs,,,,,,LKA | LFA,,Électrique,,,,,Chromées,Cuir,Démarrage mains libres,Accès mains libres,,Noir brillant,Teintées | Lunette et vitres arrières sur-teintées,,,,,,,,,Porte-lunettes,LED,Ecran TFT 4.2'',Anti-éblouissement,,,,,,,,,Aluminium,,,,,,,,,LED,Aluminium,,,,,,,,,,,,,,,,,,,,,
"OMODA & JAECOO J7
1.5 TGDI SHS",Version unique,132 900 DT,Non,Disponible,SUV,7 ans ou 200000 km | Batterie garantie 8 ans,5,5,4,Essence | Hybride rechargeable,7 CV,279 CH,215 nm 2500 tr/min,1499 CM³,Automatique,,Traction,4500 mm,1865 mm,1670 mm,500 L,,8.5 s,180 KM/H,4.7 L/100 km,Frontaux | Latéraux | Rideaux | Genoux conducteur,ESP,BAS | EBD | Système anti-collision avec détection des piétons | BOS,TPMS,,Radar de recul | Radar avant | Système de caméras 540°,,,Feux de jour | Avant | Arrières,En aluminium | 19'',Full LED,8 haut-parleurs | Commandes au volant | Sony,2 USB | 2 USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 14.8 pouces,Avant | Réfrigéré | Arrière,,Similicuir,Électriques | Chauffants | Ventilés | Réglage lombaire | Fonction mémoire,Conducteur,Ouvrant | Panoramique,Cuir | 3 branches | Chauffant | Multi-fonctions,En hauteur et en profondeur,2 prises 12 V,Ouverture à distance,Automatique | Bizone | Capteur de qualité de l'air,À distance,Éléctrique | EPB,Normal | Sport | Eco,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,10.25 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/omoda-jaecoo/7/1.5-tgdi-shs,,,,FCW,,LCA | LDP | ELK,Niveau 2 | TJA,,Adaptatif (ACC),,,Bi-ton | +2500 DT,,,Démarrage mains libres,Accès mains libres | Démarrage à distance,,,Acoustiques,143 CH,204 CH,18.3 kWh,310 nm,90 km,,,,,,,Anti-éblouissement,,,2.6 heures,20 minutes,LDW,RCTA,,BSD,,,,,,,,,,,,,,,,GPS,,,DMS,,,,,,,,,,,,,
"RENAULT AUSTRAL
1.3 L",Version unique,134 900 DT,Non,Disponible,SUV,2 ans ou 100.000 km,5,5,4,Essence,8 CV,150 CH,250 nm 2800 tr/min,1332 CM³,Automatique,7,Traction,4505 mm,1830 mm,1620 mm,575 L,,8.9 s,199 KM/H,6.1 L/100 km,Frontaux | Latéraux | Rideaux,,,,,Radar de recul | Radar avant | Caméra de recul,,,Feux de jour | Avant | Arrières,En aluminium | 19'',Full LED,,USB | USB-C | Android Auto | Apple Carplay | Bluetooth,Tactile | 9 pouces,Avant | Arrière,3,Similicuir/Tissu,,Conducteur et passager,Panoramique,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,,,Automatique | Bizone,À distance,Éléctrique,Confort | Sport | Eco | Perso,Électriques | Rabattables | Dégivrants,12 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/renault/austral/1.3-l,7.5 L/100 km,5.3 L/100 km,,,,,,,,,,Métallisée,,,,,Chromée,,Lunette et vitres arrières sur-teintées,,,,,,,,Chrome,,,,Anti-éblouissement,,,,,,,,,,,,,,,,,,LED,,,,,,,,,,,,,,,,,,,,,,
HYUNDAI KONA,1.6 l T-GDI 7-DCT 4WD,137 000 DT,Non,Disponible,SUV,5 ans ou 100000 km,5,5,4,Essence,11 CV,200 CH,265 nm 1500 tr/min,1598 CM³,Automatique,7,Intégrale,4165 mm,1800 mm,1500 mm,544 L,,7.4 s,210 KM/H,6.2 L/100 km,Frontaux | Latéraux,ESP,DBC,,,Radar de recul | Caméra de recul,,,,En aluminium | 18'',Full LED,4 haut-parleurs | Commandes au volant,USB | Android Auto | Apple Carplay | AUX | Bluetooth | Chargeur de téléphone sans fil,Tactile | 8 pouces,Arrière | Avant conducteur,,Cuir,Conducteur à réglage électrique | Réglage lombaire,,Ouvrant,Cuir | Multi-fonctions,En hauteur et en profondeur,1 prise 12 V,,Automatique,À distance,,Normal | Sport | Eco,Électriques,,Avant/Arrière,https://www.automobile.tn/fr/neuf/hyundai/kona/1.6-l-t-gdi-7-dct-4wd#specs,7.4 L/100 km,5.5 L/100 km,Périmétrique,,,,,Électrique,,,,Two-tone,,Cuir,Démarrage mains libres,Accès mains libres,,,Parebrise athermique | Lunette et vitres arrières sur-teintées,,,,,,,,,Poches aumônières,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GWM POER AT
2.0 L DIESEL 4X4",Version unique,138 900 DT,Non,Disponible,Pick up,3 ans ou 100.000 km,5,5,4,Diesel,7 CV,163 CH,400 nm 1800 tr/min,1996 CM³,Automatique,8,Intégrale,5410 mm,1934 mm,1886 mm,,,N.C,N.C,10.4 L/100 km,Frontaux | Latéraux,ESP | TCS,EBA | EBD | Système anti-collision avec détection des piétons | Freinage automatique anti-collision (AEB),TPMS,HAC,Radar de recul | Système de caméras 360,RMI,HDC,Feux de jour | Avant,En aluminium | 18'',Full LED,6 haut-parleurs,Android Auto | 4 USB | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,Tactile | 9 pouces,Avant | Arrière,,Similicuir,Électriques,Conducteur et passager,,Cuir | Multi-fonctions | Avec palettes,En hauteur,1 prise 12 V | 220 V,,Automatique,À distance,Éléctrique,,Électriques | Rabattables | Avec clignotants intégrés,,Avant/Arrière,https://www.automobile.tn/fr/neuf/great-wall/poer-at/2.0-l-diesel-4x4-bva,11.5 L/100 km,8.9 L/100 km,,FCW,Avant,,Niveau 2,Électrique,Adaptatif (ACC),TSR,Pare-chocs,Métallisée,,,Démarrage mains libres,Accès mains libres | Démarrage à distance,Chromée,,Lunette et vitres arrières sur-teintées,,,,,,,,,,,,Anti-éblouissement,,,,,,Rear Cross Traffic Monitor,,,,,1050 KG,Similicuir,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MINI ACEMAN ELECTRIC
42.5 KWH",Version unique,139 900 DT,Non,Disponible,SUV,5 ans (2+3),4,5,,Electrique,4 CV,184 CH,290 nm 0 tr/min,,Automatique,,Traction,4079 mm,1754 mm,1514 mm,300 L,1005 L,7.9 s,160 KM/H,,Frontaux | Latéraux | Protège-tête,DSC,Freinage automatique anti-collision (AEB),,Autohold,Radar de recul | Radar avant | Caméra de recul | Parkassist | Park distance control,,,Feux de jour | Avant | Arrières,En aluminium | 18'',LED,Commandes au volant | Radio numérique DAB,USB-C | Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,Tactile,Avant,,Tissu | Schwarz | Vescin,,Conducteur et passager,,Cuir | Chauffant | Multi-fonctions | Sport,En hauteur et en profondeur,,,Automatique,À distance,Éléctrique,MINI Experience,Électriques | Rabattables | Dégivrants,,Avant/Arrière,https://www.automobile.tn/fr/neuf/mini/aceman/42.5-kwh,,,,FCW,,,,,Avec fonction freinage,,,,,,Démarrage mains libres,Accès mains libres,,,,,,42.5 kWh,,309 km,,Triangle de présignalisation,,,,,Anti-éblouissement,,14.5 kWh/100 km,4.25 heures,28 minutes,,,,,,,,,,,1,,,,,,,,,GPS,Teleservices | Connected+,,,,,,,,,,,,,,,
AUDI A3 SPORTBACK,35 TFSI Iconic Line,139 990 DT,Non,Disponible,Compacte,3 ans,5,5,4,Essence,8 CV,150 CH,250 nm 1500 tr/min,1395 CM³,Automatique,8,Traction,4352 mm,1816 mm,1441 mm,380 L,1200 L,8.1 s,226 KM/H,5.4 L/100 km,Frontaux | Latéraux | Protège-tête,ESP,,,Audi hold assist,Radar de recul | Radar avant | Caméra de recul | Parkassist,,,Feux de jour | Avant,En aluminium | 17'',LED,MMI Radio Plus | Commandes au volant,USB | USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 10.1 pouces,Avant,,Tissu,Chauffants | Réglage lombaire,Conducteur et passager,,Cuir | 3 branches | Multi-fonctions | Avec palettes,En hauteur et en profondeur,,,Automatique | 3 zones | Ventilation arrière,À distance,Éléctrique,,Électriques | Rabattables | Dégivrants | Photosensibles | Avec clignotants intégrés,Audi Virtual Cockpit | 10.25 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/audi/a3-sportback/35-tfsi-iconic-line#specs,,,,,,,,,,,,,,,Démarrage mains libres,Accès mains libres,,Style aluminium | Applications décoratives en peinture fine Gris Volcan,Parebrise athermique,,,,,,,Triangle de présignalisation,Noir Mat,,,,Anti-éblouissement | Sans Cadre,,,,,,,,,Aluminium,,,,,,,,,LED,,,,,,,,,,,,,,,,,,,,,,
